team,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BOS,BOS,2022020041,BOS,FLA,HOME,20221017,Team Level,other,0.413,0.1364,0.2,312.0,1.693,1.494,0.06,0.043,0.047,0.673,0.682,1.476,1.494,1.476,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.494,0.0,0.0,1.0,3.0,3.0,3.0,2.0,0.014,0.0,0.0,1.508,1.508,1.49,8.971,2.123,0.865,1.739,0.347,5.396,1.53,1.708,2.123,1.708,9.0,3.0,7.0,19.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,8.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,0.233,0.282,1.608,0.0,0.0,1.0,19.0,12.0,12.0,0.0,0.295,1.437,1.437,0.981,0.981,0.914
BOS,BOS,2022020041,BOS,FLA,HOME,20221017,Team Level,all,0.549,0.4583,0.4563,3600.0,33.054,4.631,2.547,7.217,1.172,18.281,13.152,4.539,4.634,4.541,34.0,13.0,19.0,66.0,5.0,2.0,0.0,8.0,1.0,14.0,17.0,29.0,42.0,6.0,12.0,38.0,18.0,8.0,11.0,27.0,15.0,5.0,0.75,1.921,1.96,1.0,2.0,2.0,67.312,47.0,48.161,7.0,0.564,0.153,0.153,5.042,5.043,4.956,40.904,3.804,3.393,9.17,1.42,23.849,14.364,3.368,3.824,3.388,41.0,15.0,22.0,78.0,3.0,6.0,1.0,11.0,2.0,16.0,18.0,38.0,53.0,5.0,10.0,21.0,22.0,1.0,3.0,43.0,9.0,4.0,1.066,1.131,1.608,1.0,1.0,1.0,77.245,56.0,55.373,0.0,0.867,1.571,1.571,3.1,3.119,3.022
BOS,BOS,2022020041,BOS,FLA,HOME,20221017,Team Level,5on5,0.5842,0.5484,0.5303,2565.0,24.472,2.145,1.763,5.803,0.922,13.983,10.383,2.115,2.148,2.118,27.0,8.0,16.0,51.0,4.0,2.0,0.0,7.0,0.0,8.0,14.0,23.0,31.0,5.0,10.0,23.0,16.0,8.0,8.0,24.0,10.0,1.0,0.626,1.274,0.246,1.0,2.0,1.0,52.312,35.0,36.161,5.0,0.369,0.153,0.153,2.362,2.363,2.347,22.694,1.527,1.583,5.05,0.684,12.697,9.46,1.509,1.547,1.529,22.0,9.0,11.0,42.0,2.0,1.0,0.0,5.0,1.0,8.0,14.0,20.0,29.0,5.0,10.0,14.0,18.0,0.0,1.0,24.0,7.0,0.0,0.678,0.848,0.0,1.0,1.0,0.0,41.245,31.0,30.373,0.0,0.325,0.108,0.108,1.744,1.762,1.742
BOS,BOS,2022020041,BOS,FLA,HOME,20221017,Team Level,4on5,0.573,0.0625,0.0833,363.0,0.906,0.157,0.055,0.1,0.018,0.248,0.422,0.157,0.157,0.157,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.169,0.169,0.169,8.154,0.117,0.855,2.067,0.314,5.141,2.505,0.116,0.117,0.116,8.0,3.0,4.0,15.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,8.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,15.0,11.0,11.0,0.0,0.228,0.026,0.026,0.319,0.319,0.316
BOS,BOS,2022020041,BOS,FLA,HOME,20221017,Team Level,5on4,0.9576,0.8462,0.8,360.0,5.983,0.835,0.669,1.27,0.183,3.376,1.665,0.791,0.835,0.791,5.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,8.0,0.0,0.0,6.0,0.0,0.0,1.0,3.0,4.0,1.0,0.124,0.491,0.22,0.0,0.0,0.0,11.0,8.0,8.0,0.0,0.168,0.0,0.0,1.004,1.004,0.951,1.085,0.037,0.09,0.313,0.075,0.616,0.869,0.035,0.037,0.035,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.019,0.0,0.0,0.056,0.056,0.05
BOS,BOS,2022020049,BOS,OTT,AWAY,20221018,Team Level,other,0.351,0.4,0.375,271.0,2.285,0.365,0.162,0.424,0.067,0.952,1.03,0.365,0.365,0.365,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.039,0.326,0.0,1.0,0.0,0.0,4.0,3.0,3.0,0.0,0.043,0.0,0.0,0.408,0.408,0.408,3.565,0.675,0.293,0.651,0.131,1.615,1.635,0.659,0.675,0.659,2.0,3.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,0.065,0.362,0.249,0.0,0.0,1.0,6.0,5.0,5.0,0.0,0.071,0.249,0.249,0.498,0.498,0.497
BOS,BOS,2022020049,BOS,OTT,AWAY,20221018,Team Level,all,0.4741,0.5041,0.5155,3600.0,36.761,3.554,2.598,8.851,1.268,19.215,14.514,3.474,3.568,3.488,34.0,16.0,11.0,61.0,5.0,7.0,3.0,7.0,1.0,13.0,17.0,29.0,45.0,5.0,13.0,34.0,23.0,4.0,10.0,37.0,10.0,3.0,0.697,1.401,1.455,1.0,2.0,2.0,59.199,50.0,48.993,6.0,0.594,1.732,1.732,2.416,2.426,2.414,34.103,3.942,2.572,6.835,1.121,18.912,13.618,3.887,3.965,3.91,31.0,16.0,13.0,60.0,7.0,3.0,1.0,5.0,0.0,12.0,20.0,24.0,40.0,6.0,15.0,34.0,33.0,6.0,11.0,25.0,19.0,3.0,1.022,2.13,0.789,2.0,3.0,2.0,62.238,47.0,48.161,6.0,0.557,0.509,0.509,3.989,4.007,3.965
BOS,BOS,2022020049,BOS,OTT,AWAY,20221018,Team Level,5on5,0.4385,0.4725,0.4722,2786.0,24.448,2.176,1.46,6.222,0.885,12.542,10.715,2.13,2.19,2.144,22.0,12.0,9.0,43.0,3.0,4.0,2.0,5.0,1.0,6.0,15.0,19.0,31.0,5.0,13.0,19.0,22.0,3.0,9.0,24.0,8.0,2.0,0.487,1.075,0.613,0.0,2.0,1.0,41.199,34.0,32.993,6.0,0.302,0.828,0.828,1.649,1.66,1.656,27.599,2.786,2.041,5.669,0.89,15.487,11.128,2.765,2.809,2.788,29.0,9.0,10.0,48.0,6.0,2.0,0.0,5.0,0.0,9.0,16.0,23.0,32.0,6.0,15.0,31.0,27.0,5.0,11.0,24.0,12.0,2.0,0.958,1.287,0.541,2.0,3.0,1.0,50.238,38.0,39.161,6.0,0.421,0.261,0.261,2.946,2.964,2.943
BOS,BOS,2022020049,BOS,OTT,AWAY,20221018,Team Level,4on5,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938,0.481,0.238,0.516,0.1,1.811,0.854,0.463,0.481,0.463,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.481,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.064,0.0,0.0,0.545,0.545,0.525
BOS,BOS,2022020049,BOS,OTT,AWAY,20221018,Team Level,5on4,1.0,1.0,1.0,310.0,10.028,1.013,0.975,2.205,0.316,5.722,2.77,0.979,1.013,0.979,10.0,3.0,1.0,14.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,9.0,12.0,0.0,0.0,7.0,0.0,0.0,1.0,12.0,0.0,1.0,0.17,0.0,0.842,0.0,0.0,1.0,14.0,13.0,13.0,0.0,0.25,0.904,0.904,0.358,0.358,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
